Ann_e,Trimestre,NpdC,IdF,Tot,t
1982,1,9,5.6,6.7,1
1982,2,9,5.6,6.8,2
1982,3,9.1,5.6,7,3
1982,4,8.9,5.5,7,4
1983,1,9,5.6,7,5
1983,2,9.3,5.7,7,6
1983,3,9.4,5.7,7.2,7
1983,4,9.5,5.6,7.5,8
1984,1,10,5.9,7.9,9
1984,2,11.1,6.4,8.3,10
1984,3,11.8,6.8,8.5,11
1984,4,11.6,6.7,8.7,12
1985,1,11.1,6.6,8.9,13
1985,2,11,6.7,8.8,14
1985,3,11.6,7.3,8.9,15
1985,4,11.8,7.6,8.9,16
1986,1,11.5,7.4,8.8,17
1986,2,11.6,7.3,8.9,18
1986,3,11.6,7.2,9,19
1986,4,11.8,7.3,9,20
1987,1,12,7.5,9.1,21
1987,2,12.1,7.5,9.2,22
1987,3,12.1,7.5,9.1,23
1987,4,12.2,7.5,9,24
1988,1,12.2,7.5,8.9,25
1988,2,12.1,7.5,8.8,26
1988,3,11.9,7.4,8.8,27
1988,4,11.6,7.2,8.6,28
1989,1,11.3,6.9,8.4,29
1989,2,11.2,6.8,8.2,30
1989,3,11.3,6.8,8.1,31
1989,4,11.3,6.7,8,32
1990,1,11.4,6.6,8,33
1990,2,11.6,6.5,8,34
1990,3,11.6,6.5,7.9,35
1990,4,11.6,6.5,7.9,36
1991,1,11.4,6.7,7.8,37
1991,2,11.2,6.9,8,38
1991,3,11.2,7,8.2,39
1991,4,11.4,7.1,8.5,40
1992,1,11.8,7.3,8.7,41
1992,2,11.9,7.5,8.9,42
1992,3,12.2,7.8,9.1,43
1992,4,12.4,8.1,9.3,44
1993,1,12.6,8.4,9.6,45
1993,2,13.2,8.8,9.9,46
1993,3,13.7,9.1,10.2,47
1993,4,14.1,9.4,10.5,48
1994,1,14.5,9.6,10.7,49
1994,2,14.7,9.6,10.8,50
1994,3,14.5,9.5,10.7,51
1994,4,14.2,9.3,10.4,52
1995,1,13.8,9,10.3,53
1995,2,13.5,8.9,10,54
1995,3,13.7,9.1,9.9,55
1995,4,13.8,9.2,10,56
1996,1,14.1,9.3,10.4,57
1996,2,14.4,9.4,10.6,58
1996,3,14.7,9.5,10.6,59
1996,4,14.8,9.6,10.6,60
1997,1,14.9,9.7,10.8,61
1997,2,14.9,9.7,10.8,62
1997,3,14.8,9.6,10.7,63
1997,4,14.6,9.5,10.6,64
1998,1,14.3,9.3,10.4,65
1998,2,14.2,9.3,10.3,66
1998,3,14.3,9.3,10.2,67
1998,4,14.3,9.3,10.2,68
1999,1,14.3,9.2,10.3,69
1999,2,14.2,9.1,10.2,70
1999,3,14,8.8,9.9,71
1999,4,13.4,8.5,9.5,72
2000,1,12.7,8.1,9.1,73
2000,2,12.2,7.6,8.7,74
2000,3,11.9,7.3,8.3,75
2000,4,11.7,7.1,8,76
2001,1,11.5,6.8,7.8,77
2001,2,11.2,6.7,7.7,78
2001,3,11,6.7,7.7,79
2001,4,10.8,6.7,7.8,80
2002,1,10.9,7,7.8,81
2002,2,10.9,7.3,7.8,82
2002,3,10.6,7.5,7.9,83
2002,4,10.7,7.7,8,84
2003,1,10.9,8.1,8.3,85
2003,2,11.1,8.4,8.5,86
2003,3,10.9,8.4,8.4,87
2003,4,11.4,8.7,8.8,88
2004,1,11.7,9,8.9,89
2004,2,11.5,8.8,8.8,90
2004,3,11.7,8.8,8.9,91
2004,4,11.8,8.9,8.9,92
2005,1,11.5,8.6,8.7,93
2005,2,11.7,8.6,8.8,94
2005,3,12.1,8.7,9,95
2005,4,12.4,8.7,9.1,96
2006,1,12.6,8.7,9.1,97
2006,2,12.4,8.4,8.9,98
2006,3,12.2,8.3,8.9,99
2006,4,11.7,7.8,8.4,100
2007,1,11.7,7.9,8.4,101
2007,2,11.3,7.6,8.1,102
2007,3,11.2,7.4,8,103
2007,4,10.8,6.9,7.5,104
2008,1,10.2,6.5,7.1,105
2008,2,10.4,6.6,7.3,106
2008,3,10.6,6.6,7.4,107
2008,4,11.1,6.8,7.8,108
2009,1,12.1,7.3,8.6,109
2009,2,12.7,7.9,9.2,110
2009,3,12.6,8,9.2,111
2009,4,13,8.5,9.6,112
2010,1,12.8,8.3,9.4,113
2010,2,12.8,8.2,9.3,114
2010,3,12.9,8.3,9.3,115
2010,4,12.8,8.3,9.2,116
2011,1,12.5,8.2,9.1,117
2011,2,12.5,8.1,9.1,118
2011,3,12.6,8.2,9.2,119
2011,4,12.7,8.3,9.3,120
2012,1,13,8.4,9.5,121
2012,2,13.2,8.6,9.8,122
2012,3,13.5,8.6,9.9,123
2012,4,13.9,8.8,10.1,124
2013,1,14,9.1,10.4,125
2013,2,13.9,9.1,10.4,126
